HIP,_RA_icrs,_DE_icrs,Vmag,Plx
677,2.09691071,29.09043199,2.07,33.6
746,2.29452113,59.1497796,2.28,59.89
1067,3.30897012,15.1835959,2.83,9.79
2021,6.43780017,-77.25424559,2.82,133.78
2081,6.57104571,-42.30598151,2.4,42.14
3179,10.12683548,56.53733109,2.24,14.27
3419,10.8973794,-17.9866046,2.04,34.04
4427,14.17721554,60.71674038,2.15,5.32
5447,17.43301493,35.6205577,2.07,16.36
6686,21.45396795,60.23528317,2.66,32.81
7588,24.42852736,-57.23675749,0.45,22.68
8903,28.66003816,20.80803505,2.64,54.74
9236,29.69247303,-61.5698591,2.86,45.74
9640,30.97480447,42.32972473,2.1,9.19
9884,31.79336293,23.46242313,2.01,49.48
11767,37.95451535,89.26410951,1.97,7.56
13847,44.56531119,-40.30467242,2.88,20.22
14135,45.56988401,4.08973396,2.54,14.82
14328,46.19912802,53.50644013,2.91,12.72
14576,47.04221485,40.9556477,2.09,35.14
15863,51.08070979,49.86117959,1.79,5.51
17702,56.87115217,24.10513715,2.85,8.87
18246,58.53300625,31.88363552,2.84,3.32
18532,59.4634614,40.01021467,2.9,6.06
18543,59.50735988,-13.50851533,2.97,14.75
21421,68.9801611,16.50930139,0.87,50.09
23015,74.24841152,33.16609031,2.69,6.37
23875,76.96243797,-5.08644618,2.78,36.71
24436,78.63446812,-8.20164055,0.18,4.22
24608,79.1723294,45.99799111,0.08,77.29
25336,81.28276276,6.34970223,1.64,13.42
25428,81.57297249,28.60745001,1.65,24.89
25606,82.06134664,-20.75944097,2.81,20.49
25930,83.00166968,-0.29909204,2.25,3.56
25985,83.18256633,-17.82228853,2.58,2.54
26241,83.8582603,-5.90990135,2.75,2.46
26311,84.05338934,-1.20191983,1.69,2.43
26451,84.4111907,21.14254914,2.97,7.82
26634,84.91224946,-34.07410786,2.65,12.16
26727,85.18969642,-1.94257224,1.74,3.99
27366,86.93912023,-9.66960478,2.07,4.52
27989,88.7929386,7.40706274,0.45,7.63
28360,89.88217889,44.94743278,1.9,39.72
28380,89.93028743,37.21258518,2.65,18.83
30324,95.67493869,-17.95591772,1.98,6.53
30343,95.74011257,22.51358585,2.87,14.07
30438,95.9879578,-52.69566046,-0.62,10.43
31681,99.42792124,16.39925217,1.93,31.12
32349,101.28715539,-16.71611582,-1.44,379.21
32768,102.48403461,-50.61455978,2.94,17.85
33579,104.65645182,-28.97208374,1.5,7.57
34444,107.09785107,-26.39319967,1.83,1.82
35264,109.28565178,-37.09746988,2.71,2.98
35904,111.02376056,-29.3031036,2.45,1.02
36188,111.78767771,8.28931548,2.89,19.16
36850,113.64942834,31.88827629,1.58,63.27
37279,114.82549301,5.22499306,0.4,285.93
37826,116.32895983,28.02619862,1.16,96.74
39429,120.89602782,-40.0031477,2.21,2.33
39757,121.88603686,-24.30432404,2.83,51.99
39953,122.383126,-47.33658771,1.75,3.88
41037,125.6284816,-59.50948307,1.86,5.16
42913,131.17594322,-54.70882109,1.93,40.9
44816,136.99899358,-43.43258935,2.23,5.69
45238,138.29989786,-69.71720773,1.67,29.34
45556,139.27252781,-59.27522929,2.21,4.71
45941,140.52840967,-55.01066799,2.47,6.05
46390,141.89684698,-8.65860253,1.99,18.4
47908,146.46280429,23.77425466,2.97,13.01
48002,146.77550679,-65.0720068,2.92,2.01
49669,152.0929611,11.96720706,1.36,42.09
50583,154.99314355,19.84148873,2.01,25.96
52419,160.73917189,-64.39445006,2.74,7.43
52727,161.69240913,-49.42025537,2.69,28.18
53910,165.46031999,56.38242679,2.34,41.07
54061,165.93195289,61.7510332,1.81,26.38
54872,168.52708898,20.52371682,2.56,56.52
57632,177.26490656,14.57206032,2.14,90.16
